mapping_kind,lexical_difficulty,n,hit10_failures,hit100_failures
ALTERNATIVE,LEXICAL_EXACT,21,0,0
ALTERNATIVE,LEXICAL_HIGH,106,0,0
ALTERNATIVE,LEXICAL_LOW,170,41,7
ALTERNATIVE,LEXICAL_MEDIUM,245,25,1
SINGLE_APPROXIMATE,LEXICAL_EXACT,56,0,0
SINGLE_APPROXIMATE,LEXICAL_HIGH,276,4,0
SINGLE_APPROXIMATE,LEXICAL_LOW,651,233,90
SINGLE_APPROXIMATE,LEXICAL_MEDIUM,466,37,6
SINGLE_EXACT,LEXICAL_EXACT,392,0,0
SINGLE_EXACT,LEXICAL_HIGH,142,0,0
SINGLE_EXACT,LEXICAL_LOW,61,10,2
SINGLE_EXACT,LEXICAL_MEDIUM,109,0,0
