model,split,n,mean_top1_score,median_top1_score,sd_top1_score,p25_top1_score,p75_top1_score
BioLORD-2023,forward_stratified_test,85,0.8298423696966732,0.8545677661895752,0.0870381881282172,0.7849841117858887,0.8933340311050415
MedCPT,forward_stratified_test,85,0.8924621371661916,0.8956975936889648,0.05904256619356567,0.8534032106399536,0.9339607954025269
Qwen3-Embedding-0.6B,forward_stratified_test,85,0.7617593000916874,0.7600874304771423,0.058285813115875724,0.7237418293952942,0.8002122044563293
SapBERT,forward_stratified_test,85,0.7373427983592539,0.7487961649894714,0.09475132187608024,0.6651265621185303,0.806432843208313
BioLORD-2023,backward_stratified_test,146,0.6739587569481706,0.7020093500614166,0.11673491857320002,0.614920437335968,0.7618787288665771
MedCPT,backward_stratified_test,146,0.7716960278275895,0.7737410664558411,0.07715431552580992,0.7135071754455566,0.8182216882705688
Qwen3-Embedding-0.6B,backward_stratified_test,146,0.6516158307251865,0.6608272790908813,0.061762615112592095,0.6114205121994019,0.6966168284416199
SapBERT,backward_stratified_test,146,0.6275774215998715,0.617039680480957,0.07836811686493682,0.5697367191314697,0.6849958300590515
BioLORD-2023,backward_family_held_out,131,0.633350778399533,0.682422399520874,0.13475614540519468,0.4763610363006592,0.7404705286026001
MedCPT,backward_family_held_out,131,0.7328120401797403,0.739607036113739,0.07408032421903588,0.6505509614944458,0.7892958521842957
Qwen3-Embedding-0.6B,backward_family_held_out,131,0.6250518100862285,0.6458550095558167,0.07832682168548068,0.5398847460746765,0.6889140605926514
SapBERT,backward_family_held_out,131,0.614192160486265,0.6048184633255005,0.06648423905696917,0.5610395073890686,0.6671035289764404
