model,direction,protocol,partition,sample_population,slice,experiment_version,n,answerable_n,noncombination_answerable_n,combination_n,benchmark_version,Hit@1,ChoiceListRecall@1,CompleteScenarioRetrieval@1,Hit@5,ChoiceListRecall@5,CompleteScenarioRetrieval@5,Hit@10,ChoiceListRecall@10,CompleteScenarioRetrieval@10,Hit@25,ChoiceListRecall@25,CompleteScenarioRetrieval@25,Hit@50,ChoiceListRecall@50,CompleteScenarioRetrieval@50,Hit@100,ChoiceListRecall@100,CompleteScenarioRetrieval@100,MRR
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_EXACT,1.0,469,469,469,0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_HIGH,1.0,527,527,524,3,1.0,0.8835877862595419,0.5,0.0,0.9885496183206107,0.5,0.0,0.9942748091603053,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.9302316780286023
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_MEDIUM,1.0,898,898,820,78,1.0,0.6134146341463415,0.11858974358974358,0.0,0.8451219512195122,0.41773504273504275,0.08974358974358974,0.9109756097560976,0.5299145299145299,0.16666666666666666,0.9804878048780488,0.6730769230769231,0.358974358974359,0.9902439024390244,0.7243589743589743,0.46153846153846156,0.9926829268292683,0.7788461538461539,0.5641025641025641,0.7149707301547407
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_LOW,1.0,1019,934,882,52,1.0,0.15759637188208617,0.1346153846153846,0.0,0.3378684807256236,0.30096153846153845,0.07692307692307693,0.41836734693877553,0.3923076923076923,0.15384615384615385,0.5351473922902494,0.5115384615384616,0.3076923076923077,0.6156462585034014,0.6115384615384616,0.34615384615384615,0.6768707482993197,0.7173076923076922,0.5,0.24008617247029843
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_EXACT,1.0,704,704,704,0,1.0,0.8721590909090909,,,0.9346590909090909,,,0.9474431818181818,,,0.9630681818181818,,,0.9701704545454546,,,0.9744318181818182,,,0.8984592639240021
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_APPROXIMATE,1.0,1449,1449,1449,0,1.0,0.4582470669427191,,,0.6376811594202898,,,0.6970324361628709,,,0.7736369910282954,,,0.810904071773637,,,0.8398895790200138,,,0.5389469980717879
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,ALTERNATIVE,1.0,542,542,542,0,1.0,0.5461254612546126,,,0.7306273062730627,,,0.7915129151291513,,,0.8671586715867159,,,0.9040590405904059,,,0.9243542435424354,,,0.6291953507825829
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION,1.0,64,64,0,64,1.0,,0.1484375,0.0,,0.4296875,0.171875,,0.546875,0.28125,,0.640625,0.4375,,0.71875,0.515625,,0.796875,0.640625,
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,1.0,69,69,0,69,1.0,,0.11956521739130435,0.0,,0.32222222222222224,0.0,,0.4091787439613527,0.043478260869565216,,0.5811594202898551,0.2463768115942029,,0.6492753623188405,0.3333333333333333,,0.7253623188405797,0.463768115942029,
BM25,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,NO_MAP,1.0,85,0,0,0,1.0,,,,,,,,,,,,,,,,,,,
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_EXACT,1.0,469,469,469,0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_HIGH,1.0,527,527,524,3,1.0,0.8912213740458015,0.16666666666666666,0.0,0.9885496183206107,0.5,0.0,0.9942748091603053,0.5,0.0,1.0,0.5,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.9347616018417545
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_MEDIUM,1.0,898,898,820,78,1.0,0.7426829268292683,0.18269230769230768,0.0,0.9085365853658537,0.3685897435897436,0.05128205128205128,0.9414634146341463,0.44978632478632474,0.15384615384615385,0.973170731707317,0.5699786324786325,0.3333333333333333,0.9841463414634146,0.6597222222222222,0.44871794871794873,0.9890243902439024,0.7537393162393163,0.5641025641025641,0.8169929105927511
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_LOW,1.0,1019,934,882,52,1.0,0.336734693877551,0.17596153846153847,0.0,0.5873015873015873,0.3298076923076923,0.0,0.6621315192743764,0.36826923076923074,0.019230769230769232,0.7619047619047619,0.4740384615384615,0.1346153846153846,0.8197278911564626,0.5125,0.17307692307692307,0.8684807256235828,0.6009615384615384,0.2692307692307692,0.45116574449920566
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_EXACT,1.0,704,704,704,0,1.0,0.9474431818181818,,,0.9914772727272727,,,0.9971590909090909,,,0.9971590909090909,,,0.9985795454545454,,,0.9985795454545454,,,0.966595643939394
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_APPROXIMATE,1.0,1449,1449,1449,0,1.0,0.567287784679089,,,0.7439613526570048,,,0.790200138026225,,,0.8557625948930296,,,0.8916494133885439,,,0.9220151828847482,,,0.649219345794299
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,ALTERNATIVE,1.0,542,542,542,0,1.0,0.6512915129151291,,,0.8745387453874539,,,0.9206642066420664,,,0.9612546125461254,,,0.974169741697417,,,0.9797047970479705,,,0.7481093861811109
