model,metric,delta,ci95_low,ci95_high,n
SapBERT,Hit@10,0.0838048090523338,0.07001414427157002,0.09794908062234794,2828
SapBERT,Hit@100,0.0586987270155587,0.047736916548797734,0.07001414427157002,2828
SapBERT,MRR,0.10024881828175777,0.08725557845458215,0.11413358742602195,2828
BioLORD-2023,Hit@10,0.13613861386138615,0.12127828854314003,0.15099009900990099,2828
BioLORD-2023,Hit@100,0.08875530410183875,0.0785007072135785,0.09971711456859972,2828
BioLORD-2023,MRR,0.1381202374396688,0.12492776566887562,0.15221878156346166,2828
MedCPT,Hit@10,0.06435643564356436,0.05020332390381895,0.07956152758132956,2828
MedCPT,Hit@100,0.05551626591230552,0.04490806223479491,0.0664869165487977,2828
MedCPT,MRR,0.04204852940147006,0.0290425265910134,0.05553086260145705,2828
Qwen3-Embedding-0.6B,Hit@10,0.1166902404526167,0.1021923620933522,0.13083451202263083,2828
Qwen3-Embedding-0.6B,Hit@100,0.08062234794908062,0.07001414427157002,0.09193776520509193,2828
Qwen3-Embedding-0.6B,MRR,0.0977243037520771,0.08410350846850757,0.11065116252310067,2828
