model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,overall,2913,2828,2695,133,2695,2695,133,0.5840445269016697,0.733951762523191,0.7814471243042672,0.8419294990723563,0.8712430426716141,0.8920222634508349,0.6510105388247414,0.13345864661654136,0.37393483709273184,0.4754385964912281,0.6097744360902255,0.6827067669172933,0.7597744360902255,0.0,0.08270676691729323,0.15789473684210525,0.3383458646616541,0.42105263157894735,0.5488721804511278
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,overall,2913,2828,2695,133,2695,2695,133,0.6834879406307978,0.8348794063079777,0.8705009276437848,0.9139146567717996,0.9361781076066791,0.9536178107606679,0.7520138971055416,0.17969924812030075,0.35639097744360904,0.41904761904761906,0.530889724310777,0.6023182957393483,0.6920426065162907,0.0,0.03007518796992481,0.09774436090225563,0.24812030075187969,0.3383458646616541,0.44360902255639095
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,overall,2913,2828,2695,133,2695,2695,133,0.7179962894248608,0.8820037105751392,0.9213358070500928,0.9573283858998145,0.9743970315398887,0.9840445269016698,0.7921421903175105,0.17067669172932332,0.4052631578947368,0.5387218045112783,0.6693609022556392,0.7733082706766917,0.9,0.0,0.10526315789473684,0.21804511278195488,0.39097744360902253,0.5714285714285714,0.8045112781954887
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,overall,2913,2828,2695,133,2695,2695,133,0.6044526901669759,0.7884972170686456,0.8445269016697589,0.8968460111317255,0.9280148423005566,0.9506493506493506,0.6876176907910964,0.20256892230576443,0.44498746867167915,0.5348370927318296,0.6328947368421053,0.7317669172932331,0.8590225563909775,0.0,0.07518796992481203,0.18045112781954886,0.3609022556390977,0.5338345864661654,0.7518796992481203
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,overall,2913,2828,2695,133,2695,2695,133,0.6601113172541744,0.8512059369202226,0.9001855287569573,0.9402597402597402,0.9617810760667903,0.9758812615955473,0.7449394342114017,0.24736842105263157,0.4345864661654135,0.5974937343358396,0.7466165413533834,0.8330200501253132,0.9078947368421053,0.0,0.13533834586466165,0.3458646616541353,0.5639097744360902,0.6917293233082706,0.8345864661654135
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,overall,2913,2828,2695,133,2695,2695,133,0.6753246753246753,0.8371057513914657,0.8883116883116883,0.9428571428571428,0.9706864564007421,0.9814471243042672,0.7496762252184466,0.1978696741854637,0.4829573934837093,0.5834586466165413,0.7169172932330826,0.7814536340852131,0.8590225563909775,0.0,0.21804511278195488,0.3082706766917293,0.45864661654135336,0.5864661654135338,0.7218045112781954
BM25,ICD10CM_to_ICD9CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,backward_stratified_test,overall,14341,14195,13346,849,13346,13346,849,0.2923722463659523,0.4508466956391428,0.5068934512213398,0.6106698636295519,0.6540536490334182,0.6927918477446426,0.3687410340669192,0.22055359246171968,0.38064389477817034,0.4447389085198272,0.5233608166470357,0.6310365135453475,0.7196702002355713,0.0,0.13663133097762073,0.23792697290930506,0.35571260306242636,0.4723203769140165,0.5806831566548881
SapBERT,ICD10CM_to_ICD9CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,backward_stratified_test,overall,14341,14195,13346,849,13346,13346,849,0.2757380488535891,0.4115090663869324,0.4654578150756781,0.5331934662071033,0.5815225535741047,0.6358459463509666,0.3409096227174635,0.1872791519434629,0.3824106792304672,0.4714369846878681,0.5937377306635256,0.6687279151943463,0.7398900667451904,0.0,0.15783274440518258,0.24499411071849234,0.3875147232037691,0.4817432273262662,0.5771495877502945
BioLORD-2023,ICD10CM_to_ICD9CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,backward_stratified_test,overall,14341,14195,13346,849,13346,13346,849,0.33133523153004646,0.5130376142664469,0.5969578900044957,0.711224336879964,0.7880263749438033,0.8363554623108047,0.41924400901703224,0.2695327836670593,0.5416175893207695,0.6480172752257559,0.7783667059285434,0.8709265802905379,0.9418924224577936,0.0,0.28857479387514723,0.44051825677267376,0.6336866902237926,0.7832744405182568,0.9022379269729093
MedCPT,ICD10CM_to_ICD9CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,backward_stratified_test,overall,14341,14195,13346,849,13346,13346,849,0.3063839352615016,0.44702532594035665,0.5137119736250562,0.5998801138918027,0.6457365502772366,0.6883710475048703,0.37475216334614603,0.24263839811542992,0.4379662347860228,0.5106988614055752,0.5996270121711818,0.6650961915979583,0.7205535924617197,0.0,0.1872791519434629,0.29917550058892817,0.43934040047114253,0.5512367491166078,0.6360424028268551
