benchmark_id,label,evidence
track_a_v1.0:ICD9CM_TO_ICD10CM:0059,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:00846,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01000,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01144,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01150,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01155,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01164,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01195,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01220,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01221,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01330,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01486,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01506,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01644,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01661,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01662,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01710,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01716,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01720,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:01794,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0319,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:03819,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:04100,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:04105,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:04109,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0417,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:04184,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:04189,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:05412,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0543,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:05449,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
