model,comparison,metric,baseline_value,comparison_value,delta,ci95_low,ci95_high,n,population,applicable_n,delta_definition
SapBERT,vs BM25,Hit@10,0.7814471243042672,0.8705009276437848,0.08905380333951762,0.07458256029684601,0.10278293135435992,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
SapBERT,vs BM25,Hit@100,0.8920222634508349,0.9536178107606679,0.06159554730983302,0.05009276437847866,0.07346938775510205,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
SapBERT,vs BM25,MRR,0.6510105388247414,0.7520138971055416,0.1010033582808002,0.08722079420777325,0.11338991320464466,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BioLORD-2023,vs BM25,Hit@10,0.7814471243042672,0.9213358070500928,0.1398886827458256,0.12504638218923933,0.15473098330241186,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BioLORD-2023,vs BM25,Hit@100,0.8920222634508349,0.9840445269016698,0.09202226345083488,0.08089053803339517,0.1038961038961039,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BioLORD-2023,vs BM25,MRR,0.6510105388247414,0.7921421903175105,0.14113165149276904,0.12714578066510257,0.15425183643610263,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
MedCPT,vs BM25,Hit@10,0.7814471243042672,0.8445269016697589,0.06307977736549165,0.04712430426716141,0.07830241187384039,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
MedCPT,vs BM25,Hit@100,0.8920222634508349,0.9506493506493506,0.05862708719851577,0.04712430426716141,0.07012987012987013,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
MedCPT,vs BM25,MRR,0.6510105388247414,0.6876176907910964,0.036607151966354855,0.02257728989797871,0.05028315288498611,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
Qwen3-Embedding-0.6B,vs BM25,Hit@10,0.7814471243042672,0.9001855287569573,0.11873840445269017,0.10426716141001856,0.13283858998144712,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
Qwen3-Embedding-0.6B,vs BM25,Hit@100,0.8920222634508349,0.9758812615955473,0.08385899814471243,0.07309833024118738,0.09536178107606678,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
Qwen3-Embedding-0.6B,vs BM25,MRR,0.6510105388247414,0.7449394342114017,0.0939288953866602,0.08036496900571702,0.10692474430828548,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BM25 + BioLORD RRF,vs BM25,Hit@10,0.7814471243042672,0.8883116883116883,0.10686456400742116,0.09498144712430426,0.11910946196660482,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BM25 + BioLORD RRF,vs BM25,Hit@100,0.8920222634508349,0.9814471243042672,0.08942486085343228,0.07866419294990723,0.1005658627087198,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BM25 + BioLORD RRF,vs BM25,MRR,0.6510105388247414,0.7496762252184466,0.09866568639370517,0.08976396052567776,0.10724515644399227,2695,forward_stratified_test,2695,paired mean of per-example comparison minus BM25 on answerable non-combination examples
BioLORD-2023,vs Qwen3-Embedding-0.6B,Hit@10,0.9001855287569573,0.9213358070500928,0.021150278293135438,0.010760667903525046,0.03228200371057514,2695,forward_stratified_test,2695,paired mean of BioLORD minus Qwen per-example values
BioLORD-2023,vs Qwen3-Embedding-0.6B,Hit@100,0.9758812615955473,0.9840445269016698,0.00816326530612245,0.002968460111317254,0.013358070500927645,2695,forward_stratified_test,2695,paired mean of BioLORD minus Qwen per-example values
BioLORD-2023,vs Qwen3-Embedding-0.6B,MRR,0.7449394342114017,0.7921421903175105,0.047202756106108856,0.036620828701444036,0.05757853371828964,2695,forward_stratified_test,2695,paired mean of BioLORD minus Qwen per-example values
