model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,1,2238,2153,2153,0,2153,2153,0,0.5935903390617743,0.7347886669763122,0.7789131444496052,0.8355782628889921,0.8629818857408268,0.8838829540176498,0.6565023325631761,,,,,,,,,,,,
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,2-3,479,479,392,87,392,392,87,0.5510204081632653,0.7372448979591837,0.8010204081632653,0.875,0.9158163265306123,0.9387755102040817,0.6351428115776118,0.13218390804597702,0.39080459770114945,0.5057471264367817,0.6206896551724138,0.6954022988505747,0.7816091954022989,0.0,0.12643678160919541,0.21839080459770116,0.39080459770114945,0.45977011494252873,0.5977011494252874
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,4-9,176,176,135,41,135,135,41,0.5481481481481482,0.7037037037037037,0.7555555555555555,0.837037037037037,0.8666666666666667,0.8814814814814815,0.6207045941330253,0.1524390243902439,0.3471544715447154,0.42032520325203254,0.6121951219512195,0.6902439024390244,0.7451219512195122,0.0,0.0,0.04878048780487805,0.2682926829268293,0.3902439024390244,0.5121951219512195
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,10+,20,20,15,5,15,15,5,0.4,0.8,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5501851851851851,0.0,0.3,0.4,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,1,2238,2153,2153,0,2153,2153,0,0.6915931258708778,0.8248954946586159,0.8578727357176034,0.9019972131908964,0.9266140269391546,0.9470506270320483,0.7529968255407675,,,,,,,,,,,,
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,2-3,479,479,392,87,392,392,87,0.6862244897959183,0.8801020408163265,0.9209183673469388,0.9591836734693877,0.9744897959183674,0.9795918367346939,0.7684356170129533,0.21264367816091953,0.40804597701149425,0.4827586206896552,0.5977011494252874,0.6609195402298851,0.735632183908046,0.0,0.034482758620689655,0.11494252873563218,0.26436781609195403,0.3793103448275862,0.4827586206896552
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,4-9,176,176,135,41,135,135,41,0.5777777777777777,0.8518518518518519,0.9111111111111111,0.9629629629629629,0.9703703703703703,0.9777777777777777,0.7022524518269628,0.12560975609756098,0.2841463414634146,0.32276422764227647,0.42032520325203254,0.5056910569105691,0.6077235772357724,0.0,0.024390243902439025,0.04878048780487805,0.1951219512195122,0.24390243902439024,0.34146341463414637
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,10+,20,20,15,5,15,15,5,0.4,0.9333333333333333,1.0,1.0,1.0,1.0,0.6296296296296297,0.05,0.05,0.1,0.275,0.375,0.625,0.0,0.0,0.2,0.4,0.4,0.6
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,1,2238,2153,2153,0,2153,2153,0,0.7268927078495123,0.8778448676265675,0.9145378541569903,0.9516953088713423,0.9716674407803065,0.9818857408267534,0.795606907905584,,,,,,,,,,,,
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,2-3,479,479,392,87,392,392,87,0.701530612244898,0.9056122448979592,0.9464285714285714,0.9770408163265306,0.9846938775510204,0.9923469387755102,0.7913965951438234,0.1896551724137931,0.4425287356321839,0.5459770114942529,0.6666666666666666,0.7471264367816092,0.896551724137931,0.0,0.11494252873563218,0.21839080459770116,0.39080459770114945,0.5172413793103449,0.7931034482758621
