model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_EXACT,469,469,469,0,469,469,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_HIGH,527,527,524,3,524,524,3,0.8835877862595419,0.9885496183206107,0.9942748091603053,1.0,1.0,1.0,0.9302316780286023,0.5,0.5,0.5,0.6666666666666666,0.8333333333333334,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_MEDIUM,898,898,820,78,820,820,78,0.6134146341463415,0.8451219512195122,0.9109756097560976,0.9804878048780488,0.9902439024390244,0.9926829268292683,0.7149707301547407,0.11858974358974358,0.41773504273504275,0.5299145299145299,0.6730769230769231,0.7243589743589743,0.7788461538461539,0.0,0.08974358974358974,0.16666666666666666,0.358974358974359,0.46153846153846156,0.5641025641025641
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_LOW,1019,934,882,52,882,882,52,0.15759637188208617,0.3378684807256236,0.41836734693877553,0.5351473922902494,0.6156462585034014,0.6768707482993197,0.24008617247029843,0.1346153846153846,0.30096153846153845,0.3923076923076923,0.5115384615384616,0.6115384615384616,0.7173076923076922,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.34615384615384615,0.5
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_EXACT,469,469,469,0,469,469,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_HIGH,527,527,524,3,524,524,3,0.8912213740458015,0.9885496183206107,0.9942748091603053,1.0,1.0,1.0,0.9347616018417545,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_MEDIUM,898,898,820,78,820,820,78,0.7426829268292683,0.9085365853658537,0.9414634146341463,0.973170731707317,0.9841463414634146,0.9890243902439024,0.8169929105927511,0.18269230769230768,0.3685897435897436,0.44978632478632474,0.5699786324786325,0.6597222222222222,0.7537393162393163,0.0,0.05128205128205128,0.15384615384615385,0.3333333333333333,0.44871794871794873,0.5641025641025641
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_LOW,1019,934,882,52,882,882,52,0.336734693877551,0.5873015873015873,0.6621315192743764,0.7619047619047619,0.8197278911564626,0.8684807256235828,0.45116574449920566,0.17596153846153847,0.3298076923076923,0.36826923076923074,0.4740384615384615,0.5125,0.6009615384615384,0.0,0.0,0.019230769230769232,0.1346153846153846,0.17307692307692307,0.2692307692307692
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_EXACT,469,469,469,0,469,469,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_HIGH,527,527,524,3,524,524,3,0.9045801526717557,0.9904580152671756,0.9961832061068703,1.0,1.0,1.0,0.9447987445124849,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
