model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_EXACT,704,704,704,0,704,704,0,0.8721590909090909,0.9346590909090909,0.9474431818181818,0.9630681818181818,0.9701704545454546,0.9744318181818182,0.8984592639240021,,,,,,,,,,,,
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_APPROXIMATE,1449,1449,1449,0,1449,1449,0,0.4582470669427191,0.6376811594202898,0.6970324361628709,0.7736369910282954,0.810904071773637,0.8398895790200138,0.5389469980717879,,,,,,,,,,,,
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,ALTERNATIVE,542,542,542,0,542,542,0,0.5461254612546126,0.7306273062730627,0.7915129151291513,0.8671586715867159,0.9040590405904059,0.9243542435424354,0.6291953507825829,,,,,,,,,,,,
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.1484375,0.4296875,0.546875,0.640625,0.71875,0.796875,0.0,0.171875,0.28125,0.4375,0.515625,0.640625
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.11956521739130435,0.32222222222222224,0.4091787439613527,0.5811594202898551,0.6492753623188405,0.7253623188405797,0.0,0.0,0.043478260869565216,0.2463768115942029,0.3333333333333333,0.463768115942029
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_EXACT,704,704,704,0,704,704,0,0.9474431818181818,0.9914772727272727,0.9971590909090909,0.9971590909090909,0.9985795454545454,0.9985795454545454,0.966595643939394,,,,,,,,,,,,
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_APPROXIMATE,1449,1449,1449,0,1449,1449,0,0.567287784679089,0.7439613526570048,0.790200138026225,0.8557625948930296,0.8916494133885439,0.9220151828847482,0.649219345794299,,,,,,,,,,,,
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,ALTERNATIVE,542,542,542,0,542,542,0,0.6512915129151291,0.8745387453874539,0.9206642066420664,0.9612546125461254,0.974169741697417,0.9797047970479705,0.7481093861811109,,,,,,,,,,,,
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.203125,0.375,0.453125,0.6015625,0.66796875,0.75390625,0.0,0.015625,0.109375,0.296875,0.40625,0.53125
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.1579710144927536,0.3391304347826087,0.3874396135265701,0.4653381642512077,0.5414251207729469,0.6346618357487923,0.0,0.043478260869565216,0.08695652173913043,0.2028985507246377,0.2753623188405797,0.36231884057971014
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_EXACT,704,704,704,0,704,704,0,0.9431818181818182,0.9857954545454546,0.9872159090909091,0.9928977272727273,0.9957386363636364,0.9971590909090909,0.9609541782603912,,,,,,,,,,,,
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_APPROXIMATE,1449,1449,1449,0,1449,1449,0,0.621808143547274,0.8253968253968254,0.8792270531400966,0.9316770186335404,0.9599723947550034,0.9744651483781919,0.7152725543308537,,,,,,,,,,,,
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,ALTERNATIVE,542,542,542,0,542,542,0,0.6826568265682657,0.8985239852398524,0.948339483394834,0.9797047970479705,0.985239852398524,0.992619926199262,0.7783792069833366,,,,,,,,,,,,
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.2109375,0.4765625,0.58984375,0.7109375,0.7734375,0.90625,0.0,0.171875,0.265625,0.46875,0.578125,0.8125
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.13333333333333336,0.3391304347826087,0.49130434782608695,0.6307971014492754,0.7731884057971015,0.8942028985507247,0.0,0.043478260869565216,0.17391304347826086,0.3188405797101449,0.5652173913043478,0.7971014492753623
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,SINGLE_EXACT,704,704,704,0,704,704,0,0.9019886363636364,0.9701704545454546,0.9857954545454546,0.9914772727272727,0.9928977272727273,0.9957386363636364,0.9306903788785054,,,,,,,,,,,,
