model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.1484375,0.4296875,0.546875,0.640625,0.71875,0.796875,0.0,0.171875,0.28125,0.4375,0.515625,0.640625
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.11956521739130435,0.32222222222222224,0.4091787439613527,0.5811594202898551,0.6492753623188405,0.7253623188405797,0.0,0.0,0.043478260869565216,0.2463768115942029,0.3333333333333333,0.463768115942029
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.203125,0.375,0.453125,0.6015625,0.66796875,0.75390625,0.0,0.015625,0.109375,0.296875,0.40625,0.53125
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.1579710144927536,0.3391304347826087,0.3874396135265701,0.4653381642512077,0.5414251207729469,0.6346618357487923,0.0,0.043478260869565216,0.08695652173913043,0.2028985507246377,0.2753623188405797,0.36231884057971014
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.2109375,0.4765625,0.58984375,0.7109375,0.7734375,0.90625,0.0,0.171875,0.265625,0.46875,0.578125,0.8125
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.13333333333333336,0.3391304347826087,0.49130434782608695,0.6307971014492754,0.7731884057971015,0.8942028985507247,0.0,0.043478260869565216,0.17391304347826086,0.3188405797101449,0.5652173913043478,0.7971014492753623
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.20703125,0.45703125,0.53515625,0.64453125,0.7578125,0.875,0.0,0.09375,0.21875,0.421875,0.609375,0.8125
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.19842995169082125,0.43381642512077295,0.5345410628019325,0.6221014492753623,0.707608695652174,0.8442028985507246,0.0,0.057971014492753624,0.14492753623188406,0.30434782608695654,0.463768115942029,0.6956521739130435
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.234375,0.47265625,0.65234375,0.7578125,0.84375,0.8984375,0.0,0.171875,0.40625,0.578125,0.703125,0.8125
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.25942028985507243,0.3992753623188406,0.5466183574879228,0.736231884057971,0.8230676328502415,0.9166666666666666,0.0,0.10144927536231885,0.2898550724637681,0.5507246376811594,0.6811594202898551,0.855072463768116
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION,64,64,0,64,0,0,64,,,,,,,,0.21875,0.55078125,0.671875,0.75,0.8203125,0.8515625,0.0,0.296875,0.4375,0.53125,0.640625,0.703125
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,69,69,0,69,0,0,69,,,,,,,,0.1785024154589372,0.420048309178744,0.5014492753623189,0.6862318840579711,0.7454106280193237,0.8659420289855072,0.0,0.14492753623188406,0.18840579710144928,0.391304347826087,0.5362318840579711,0.7391304347826086
