model,group,n,max_score_mean,max_score_median,top1_top2_margin_mean,top1_top2_margin_median,mean_top5_mean,mean_top5_median,label
BM25,NO_MAP,85,17.609800153387415,15.738939202653283,1.8478387941554555,1.3468818746153097,15.382891884629196,14.151281876922791,POST-HOC DIAGNOSTIC ONLY
BM25,ANSWERABLE,2828,22.37826626159075,21.079494439222486,4.48409972254568,2.1490226264948866,17.244520343924425,15.939765385251516,POST-HOC DIAGNOSTIC ONLY
SapBERT,NO_MAP,85,0.7084645874360028,0.7195645570755005,0.04803970841800465,0.03435629606246948,0.6470328232821296,0.6499585151672364,POST-HOC DIAGNOSTIC ONLY
SapBERT,ANSWERABLE,2828,0.8385300309077179,0.84597048163414,0.10126600034081784,0.0714055597782135,0.721984238208099,0.7259642243385316,POST-HOC DIAGNOSTIC ONLY
BioLORD-2023,NO_MAP,85,0.8110741012236651,0.8312804698944092,0.035656654834747316,0.018273651599884033,0.7580614893576679,0.778844165802002,POST-HOC DIAGNOSTIC ONLY
BioLORD-2023,ANSWERABLE,2828,0.8843778192659753,0.9043866097927094,0.07849048876863558,0.044346749782562256,0.7860549577160131,0.7939328372478485,POST-HOC DIAGNOSTIC ONLY
MedCPT,NO_MAP,85,0.8626175417619593,0.8639907836914062,0.020121023234199075,0.009986162185668945,0.8339903114823733,0.8326968193054199,POST-HOC DIAGNOSTIC ONLY
MedCPT,ANSWERABLE,2828,0.9121925562957389,0.919732540845871,0.0476830175944737,0.02263951301574707,0.8523142451528444,0.8579406023025513,POST-HOC DIAGNOSTIC ONLY
Qwen3-Embedding-0.6B,NO_MAP,85,0.7541270936236663,0.7589204907417297,0.020709300041198732,0.015526890754699707,0.7241135943637175,0.728836739063263,POST-HOC DIAGNOSTIC ONLY
Qwen3-Embedding-0.6B,ANSWERABLE,2828,0.7807048493219063,0.7876200079917908,0.038274341227310216,0.022681623697280884,0.7334300675920751,0.7352338850498199,POST-HOC DIAGNOSTIC ONLY
BM25 + BioLORD RRF,NO_MAP,85,0.03000421190478998,0.03177805800756621,0.0024711893550252765,0.001288869372885769,0.026582833606074212,0.027468334801790305,POST-HOC DIAGNOSTIC ONLY
BM25 + BioLORD RRF,ANSWERABLE,2828,0.03191291522617918,0.03278688524590164,0.0016313215861395584,0.0007848371148212532,0.029162768402880235,0.030327382941215335,POST-HOC DIAGNOSTIC ONLY
