split,population,n,gold_present,miss,coverage,ChoiceListRecall@100,CompleteScenarioRetrieval@100
train,P_ORDINARY_ANSWERABLE,9434,9224,210,0.9777400890396438,,
train,P_COMBINATION,225,,,,0.7555555555555555,0.5244444444444445
train,P_COMBINATION_WITH_ALTERNATIVES,243,,,,0.7609494415049971,0.5473251028806584
train,P_COMPLEX,468,,,,0.7583562271062271,0.5363247863247863
train,P_NO_MAP,295,,,,,
dev,P_ORDINARY_ANSWERABLE,1348,1318,30,0.9777448071216617,,
dev,P_COMBINATION,32,,,,0.703125,0.40625
dev,P_COMBINATION_WITH_ALTERNATIVES,35,,,,0.775,0.5714285714285714
dev,P_COMPLEX,67,,,,0.7406716417910447,0.4925373134328358
dev,P_NO_MAP,42,,,,,
test,P_ORDINARY_ANSWERABLE,2695,2636,59,0.9781076066790353,,
test,P_COMBINATION,64,,,,0.75,0.515625
test,P_COMBINATION_WITH_ALTERNATIVES,69,,,,0.7159420289855073,0.463768115942029
test,P_COMPLEX,133,,,,0.7323308270676692,0.48872180451127817
test,P_NO_MAP,85,,,,,
