split,population,k,n,gold_present,miss,coverage,ChoiceListRecall,CompleteScenarioRetrieval
dev,P_ORDINARY_ANSWERABLE,10,2750,2503.0,247.0,0.9101818181818182,0.9101818181818182,0.9101818181818182
dev,P_ORDINARY_ANSWERABLE,25,2750,2615.0,135.0,0.9509090909090909,0.9509090909090909,0.9509090909090909
dev,P_ORDINARY_ANSWERABLE,50,2750,2673.0,77.0,0.972,0.972,0.972
dev,P_ORDINARY_ANSWERABLE,100,2750,2698.0,52.0,0.9810909090909091,0.9810909090909091,0.9810909090909091
dev,P_COMPLEX,10,158,87.0,71.0,0.5506329113924051,0.5506329113924051,0.15822784810126583
dev,P_COMPLEX,25,158,105.5,52.5,0.6677215189873418,0.6677215189873418,0.33544303797468356
dev,P_COMPLEX,50,158,116.0,42.0,0.7341772151898734,0.7341772151898734,0.46835443037974683
dev,P_COMPLEX,100,158,122.0,36.0,0.7721518987341772,0.7721518987341772,0.5443037974683544
test,P_ORDINARY_ANSWERABLE,10,2695,2434.0,261.0,0.9031539888682746,0.9031539888682746,0.9031539888682746
test,P_ORDINARY_ANSWERABLE,25,2695,2554.0,141.0,0.9476808905380334,0.9476808905380334,0.9476808905380334
test,P_ORDINARY_ANSWERABLE,50,2695,2604.0,91.0,0.9662337662337662,0.9662337662337662,0.9662337662337662
test,P_ORDINARY_ANSWERABLE,100,2695,2636.0,59.0,0.9781076066790353,0.9781076066790353,0.9781076066790353
test,P_COMPLEX,10,133,61.06666666666666,71.93333333333334,0.45914786967418547,0.45914786967418547,0.15789473684210525
test,P_COMPLEX,25,133,79.275,53.724999999999994,0.5960526315789474,0.5960526315789474,0.3007518796992481
test,P_COMPLEX,50,133,89.73333333333335,43.26666666666665,0.67468671679198,0.67468671679198,0.42105263157894735
test,P_COMPLEX,100,133,97.4,35.599999999999994,0.7323308270676692,0.7323308270676692,0.48872180451127817
