stage,label,epoch,Hit@100,CompleteScenarioRetrieval@100,Hit@10,MRR,learning_rate
negative,N1_RANDOM,1,0.9851632047477745,0.7910447761194029,0.9228486646884273,0.7925721521899836,1e-05
negative,N1_RANDOM,2,0.9844213649851632,0.8059701492537313,0.9206231454005934,0.7917923243354952,1e-05
negative,N1_RANDOM,3,0.9859050445103857,0.7910447761194029,0.9213649851632048,0.790530108231525,1e-05
negative,N2_LEXICAL_HARD,1,0.9859050445103857,0.7910447761194029,0.9339762611275965,0.8101596752496532,1e-05
negative,N2_LEXICAL_HARD,2,0.9859050445103857,0.7611940298507462,0.9339762611275965,0.8100792865102757,1e-05
negative,N2_LEXICAL_HARD,3,0.9851632047477745,0.7164179104477612,0.9324925816023739,0.812207088835583,1e-05
negative,N3_DENSE_HARD,1,0.983679525222552,0.7761194029850746,0.9347181008902077,0.8170703708993873,1e-05
negative,N3_DENSE_HARD,2,0.9777448071216617,0.6567164179104478,0.9235905044510386,0.8051318733460472,1e-05
negative,N3_DENSE_HARD,3,0.9703264094955489,0.4925373134328358,0.9035608308605341,0.7781795756998006,1e-05
negative,N5_MIXED_HARD,1,0.9851632047477745,0.7761194029850746,0.9339762611275965,0.8155409109443801,1e-05
negative,N5_MIXED_HARD,2,0.9821958456973294,0.6865671641791045,0.9310089020771514,0.8146260337809544,1e-05
negative,N5_MIXED_HARD,3,0.978486646884273,0.6716417910447762,0.9265578635014837,0.8127852725333394,1e-05
learning_rate,LR_5E-6,1,0.9851632047477745,0.7910447761194029,0.922106824925816,0.7900506778832644,5e-06
learning_rate,LR_5E-6,2,0.9851632047477745,0.7910447761194029,0.9213649851632048,0.7908169161613798,5e-06
learning_rate,LR_5E-6,3,0.9851632047477745,0.7910447761194029,0.9191394658753709,0.7901787858518216,5e-06
learning_rate,LR_1E-5,1,0.9851632047477745,0.7910447761194029,0.9228486646884273,0.7925721521899836,1e-05
learning_rate,LR_1E-5,2,0.9844213649851632,0.8059701492537313,0.9206231454005934,0.7917923243354952,1e-05
learning_rate,LR_1E-5,3,0.9859050445103857,0.7910447761194029,0.9213649851632048,0.790530108231525,1e-05
learning_rate,LR_2E-5,1,0.9844213649851632,0.7910447761194029,0.9250741839762612,0.7957399507478973,2e-05
learning_rate,LR_2E-5,2,0.9866468842729971,0.8059701492537313,0.9258160237388724,0.7992196915425064,2e-05
learning_rate,LR_2E-5,3,0.9866468842729971,0.8208955223880597,0.9243323442136498,0.7982122501840136,2e-05
