run_id,epoch,policy,loss,negative_strategy,learning_rate,seed,base_revision,dev_population,evaluator_originally_used,corrected_dev_Hit@1,corrected_dev_Hit@10,corrected_dev_Hit@100,corrected_dev_MRR,checkpoint_sha256,checkpoint_bytes
dev_p0_l1_random,epoch_1,P0,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7106824925816023,0.9213649851632048,0.9844213649851632,0.7878729169135451,8316ccda31ad1fa1b8f8572dc818c33199f8119d2208d81896b6d17561cb71d0,438922341
dev_p0_l1_random,epoch_2,P0,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7106824925816023,0.9228486646884273,0.9844213649851632,0.7885283698087479,0e5d7fd8c0fafbd42788d68317446b3ab1220abc4c6ff1fba112ffe1db8d8a67,438922341
dev_p0_l1_random,epoch_3,P0,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7129080118694362,0.922106824925816,0.9844213649851632,0.7901812585280192,8e1dc4842190bf3c96931f3065336645e9d3d98bffdd688ea5ad5c379a183422,438922341
dev_p1_l1_random,epoch_1,P1,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7210682492581603,0.9295252225519288,0.9851632047477745,0.7957117090745186,e9dba58c7cef9dc76b2a71f860ce0f4b6634a24d001dfe1b569b03bd50769c71,438922341
dev_p1_l1_random,epoch_2,P1,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7307121661721068,0.9324925816023739,0.9866468842729971,0.8041945859824994,884461b677b0b074da6acad76c1ab95b8f3b47d27602a1328d66462a30f5f31f,438922341
dev_p1_l1_random,epoch_3,P1,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7359050445103857,0.9339762611275965,0.9866468842729971,0.8078478381227091,a403fc628855ceea9a18c71fd859b868979394820588e9eb322c85f28e5b7d92,438922341
dev_p2_l1_dense,epoch_1,P2,L1,dense_hard,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7544510385756676,0.9347181008902077,0.9844213649851632,0.8189298045661613,44693f4e664bd14b3be4d30b8f7dcf5223e9a17d43a03bd48d6c6432bc40b090,438922341
dev_p2_l1_dense,epoch_2,P2,L1,dense_hard,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7396142433234422,0.9243323442136498,0.9792284866468842,0.808362190094757,73766df1494b8e4275d7160ca1339c2fb7fffd108f6015a7c1125f060643f13f,438922341
dev_p2_l1_dense,epoch_3,P2,L1,dense_hard,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7299703264094956,0.9154302670623146,0.973293768545994,0.7965171684354213,8be1f2be631e435ec1a947351ff5afb0113984f92ec6989af8c70e6603c28cdb,438922341
dev_p2_l1_lexical,epoch_1,P2,L1,lexical_hard,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7396142433234422,0.935459940652819,0.9859050445103857,0.8093548458987317,541bc92c03fc1a183691cfd4893008ec6357dd22d848235a872f62bcffaffaa4,438922341
dev_p2_l1_lexical,epoch_2,P2,L1,lexical_hard,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7396142433234422,0.9347181008902077,0.9859050445103857,0.8116297488162819,494776ecf4c433c8adbd839b57f408ddbc7f4d1536fe2bf285f3d5fdbe8afed4,438922341
dev_p2_l1_lexical,epoch_3,P2,L1,lexical_hard,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7351632047477745,0.9324925816023739,0.9859050445103857,0.8088696475980408,807aca981e1342267ddcb8f56f0eee886c85607ffc9489c328cdd15c9049e024,438922341
dev_p2_l1_mixed,epoch_1,P2,L1,mixed,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.75,0.9347181008902077,0.9851632047477745,0.8167203753611277,08d421fdc40aed3ce926566cebcf3a25aeb7e42cbecf0bec19103545731238fb,438922341
dev_p2_l1_mixed,epoch_2,P2,L1,mixed,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.744807121661721,0.9287833827893175,0.9821958456973294,0.8135178093120792,c6ada0ffbdfe290226c6b03df068cba50e4f7e78812055ddb8a18f6c50090145,438922341
dev_p2_l1_mixed,epoch_3,P2,L1,mixed,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7544510385756676,0.9250741839762612,0.9799703264094956,0.8162169754670847,59bfa151a016c6029e8a66abafbbeececde09e197300856dab4c02bee111c03b,438922341
dev_p2_l1_random,epoch_1,P2,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7218100890207715,0.9287833827893175,0.9859050445103857,0.7977048415992197,81963175950638fffe3d25627df4d77ff34081884cc5461ffdde8cd62e1671d9,438922341
dev_p2_l1_random,epoch_2,P2,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7292284866468842,0.935459940652819,0.9866468842729971,0.8031530863931455,3a0a00691cc044343e00dacc4fb9af11c619eeed694baddb77ec25d338a55805,438922341
dev_p2_l1_random,epoch_3,P2,L1,random,1e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7359050445103857,0.9369436201780416,0.9866468842729971,0.8090234339061506,803afc220e061d2745e19efcdde8c741f08765fa5e00b43bec01309f603a351f,438922341
dev_p2_l1_random_lr2e5,epoch_1,P2,L1,random,2e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.728486646884273,0.9324925816023739,0.9873887240356083,0.8030049545101792,6f5ed090141f83c72318dd1e109135e0a28a25edb4bf83c144533c80ffc3e540,438922341
dev_p2_l1_random_lr2e5,epoch_2,P2,L1,random,2e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7388724035608308,0.9384272997032641,0.9896142433234422,0.8120385728052318,d09467ff8086d63df6b3b92de1d845916fa5eb6d94b5d403acefb62a194e6b0c,438922341
dev_p2_l1_random_lr2e5,epoch_3,P2,L1,random,2e-05,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7425816023738873,0.9413946587537092,0.9903560830860534,0.8170075831794696,ffa6d9409f6e1753d96e752dd3122263094dde857483e53c0e43381460f078fe,438922341
dev_p2_l1_random_lr5e6,epoch_1,P2,L1,random,5e-06,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7181008902077152,0.9258160237388724,0.9851632047477745,0.7937095166716117,dd6f3ae1c5042245e550a7dc9a68c1a7450674b2593bcc653d4ced9d80f3e36b,438922341
dev_p2_l1_random_lr5e6,epoch_2,P2,L1,random,5e-06,42,167aab527b238a50ca65224e6319215d2ff4fc9f,forward_stratified_dev,defective_v1_or_historical_training_metadata,0.7210682492581603,0.9280415430267063,0.9851632047477745,0.7969577202620004,b58837942a7dddf4eac7f6504c5256459a69809c4d93804fec13139b503c8cd3,438922341
