model,k,n_total,choice_list_recall,complete_scenario_retrieval
zero_shot,1,133,0.3684210526315789,0.0
zero_shot,5,133,0.7443609022556391,0.10526315789473684
zero_shot,10,133,0.8796992481203008,0.21804511278195488
zero_shot,25,133,0.9624060150375939,0.39097744360902253
zero_shot,50,133,0.9849624060150376,0.5714285714285714
zero_shot,100,133,1.0,0.8045112781954887
l1_seed42,1,133,0.5338345864661654,0.0
l1_seed42,5,133,0.8421052631578947,0.13533834586466165
l1_seed42,10,133,0.9022556390977443,0.2932330827067669
l1_seed42,25,133,0.9699248120300752,0.48120300751879697
l1_seed42,50,133,0.9924812030075187,0.6541353383458647
l1_seed42,100,133,1.0,0.849624060150376
l2_seed17,1,133,0.45112781954887216,0.0
l2_seed17,5,133,0.7819548872180451,0.11278195488721804
l2_seed17,10,133,0.8571428571428571,0.24060150375939848
l2_seed17,25,133,0.9473684210526315,0.39849624060150374
l2_seed17,50,133,0.9849624060150376,0.6015037593984962
l2_seed17,100,133,1.0,0.8421052631578947
