Hit@100_invariant,candidate_mutation_count,configuration_id,epoch,run_id,structural_at_100_invariant
True,0,LAMBDA_0_SEMANTIC_ONLY,0,r2_B0,True
True,0,fusion_lambda_0p05_lr_1e-04_wd_1e-04,1,r2_fusion_lambda_0p05_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p05_lr_1e-04_wd_1e-04,2,r2_fusion_lambda_0p05_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p05_lr_1e-04_wd_1e-04,3,r2_fusion_lambda_0p05_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p05_lr_1e-04_wd_1e-03,1,r2_fusion_lambda_0p05_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p05_lr_1e-04_wd_1e-03,2,r2_fusion_lambda_0p05_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p05_lr_1e-04_wd_1e-03,3,r2_fusion_lambda_0p05_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p05_lr_3e-04_wd_1e-04,1,r2_fusion_lambda_0p05_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p05_lr_3e-04_wd_1e-04,2,r2_fusion_lambda_0p05_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p05_lr_3e-04_wd_1e-04,3,r2_fusion_lambda_0p05_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p05_lr_3e-04_wd_1e-03,1,r2_fusion_lambda_0p05_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p05_lr_3e-04_wd_1e-03,2,r2_fusion_lambda_0p05_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p05_lr_3e-04_wd_1e-03,3,r2_fusion_lambda_0p05_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p10_lr_1e-04_wd_1e-04,1,r2_fusion_lambda_0p10_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p10_lr_1e-04_wd_1e-04,2,r2_fusion_lambda_0p10_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p10_lr_1e-04_wd_1e-04,3,r2_fusion_lambda_0p10_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p10_lr_1e-04_wd_1e-03,1,r2_fusion_lambda_0p10_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p10_lr_1e-04_wd_1e-03,2,r2_fusion_lambda_0p10_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p10_lr_1e-04_wd_1e-03,3,r2_fusion_lambda_0p10_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p10_lr_3e-04_wd_1e-04,1,r2_fusion_lambda_0p10_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p10_lr_3e-04_wd_1e-04,2,r2_fusion_lambda_0p10_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p10_lr_3e-04_wd_1e-04,3,r2_fusion_lambda_0p10_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p10_lr_3e-04_wd_1e-03,1,r2_fusion_lambda_0p10_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p10_lr_3e-04_wd_1e-03,2,r2_fusion_lambda_0p10_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p10_lr_3e-04_wd_1e-03,3,r2_fusion_lambda_0p10_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p20_lr_1e-04_wd_1e-04,1,r2_fusion_lambda_0p20_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p20_lr_1e-04_wd_1e-04,2,r2_fusion_lambda_0p20_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p20_lr_1e-04_wd_1e-04,3,r2_fusion_lambda_0p20_lr_1e-04_wd_1e-04,True
True,0,fusion_lambda_0p20_lr_1e-04_wd_1e-03,1,r2_fusion_lambda_0p20_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p20_lr_1e-04_wd_1e-03,2,r2_fusion_lambda_0p20_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p20_lr_1e-04_wd_1e-03,3,r2_fusion_lambda_0p20_lr_1e-04_wd_1e-03,True
True,0,fusion_lambda_0p20_lr_3e-04_wd_1e-04,1,r2_fusion_lambda_0p20_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p20_lr_3e-04_wd_1e-04,2,r2_fusion_lambda_0p20_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p20_lr_3e-04_wd_1e-04,3,r2_fusion_lambda_0p20_lr_3e-04_wd_1e-04,True
True,0,fusion_lambda_0p20_lr_3e-04_wd_1e-03,1,r2_fusion_lambda_0p20_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p20_lr_3e-04_wd_1e-03,2,r2_fusion_lambda_0p20_lr_3e-04_wd_1e-03,True
True,0,fusion_lambda_0p20_lr_3e-04_wd_1e-03,3,r2_fusion_lambda_0p20_lr_3e-04_wd_1e-03,True
