count,population,split
8666,P_ALL,FUSION_TRAIN
8018,P_ORDINARY_ANSWERABLE,FUSION_TRAIN
7840,P_ORDINARY_SUPERVISED_GOLD_PRESENT,FUSION_TRAIN
178,P_ORDINARY_GOLD_MISSING,FUSION_TRAIN
190,P_COMBINATION,FUSION_TRAIN
207,P_COMBINATION_WITH_ALTERNATIVES,FUSION_TRAIN
397,P_COMPLEX,FUSION_TRAIN
251,P_NO_MAP,FUSION_TRAIN
d97f189d3785ba9fb00f73ad5931d3715aa547f65e5efd06e50c19a6cdbbc74c,P_ORDINARY_ANSWERABLE_SOURCE_SHA256,FUSION_TRAIN
8ff402928ae215ceeeed67d6d03938e4a1da4801510a2af4fc027f4edd0dc830,P_COMPLEX_SOURCE_SHA256,FUSION_TRAIN
1531,P_ALL,FUSION_VAL
1416,P_ORDINARY_ANSWERABLE,FUSION_VAL
1384,P_ORDINARY_SUPERVISED_GOLD_PRESENT,FUSION_VAL
32,P_ORDINARY_GOLD_MISSING,FUSION_VAL
35,P_COMBINATION,FUSION_VAL
36,P_COMBINATION_WITH_ALTERNATIVES,FUSION_VAL
71,P_COMPLEX,FUSION_VAL
44,P_NO_MAP,FUSION_VAL
e40bd1d1985fe9e888596bc2322da7e19add0f75403478dbded1e153fbc39aa6,P_ORDINARY_ANSWERABLE_SOURCE_SHA256,FUSION_VAL
c7bb59ea4e8077019b4cf0dfa215f7e78fe37314ef339cbbe000a48a9b96b27b,P_COMPLEX_SOURCE_SHA256,FUSION_VAL
