configuration_id,epoch,runtime_seconds,training_loss
fusion_lambda_0p05_lr_1e-04_wd_1e-04,1,3.358139999996638,4.409412991270727
fusion_lambda_0p05_lr_1e-04_wd_1e-04,2,3.335363200007123,4.405888269385513
fusion_lambda_0p05_lr_1e-04_wd_1e-04,3,3.42108850000659,4.4018749412225215
fusion_lambda_0p05_lr_1e-04_wd_1e-03,1,3.4030267000052845,4.4095201531235055
fusion_lambda_0p05_lr_1e-04_wd_1e-03,2,3.66495410000789,4.405982091475506
fusion_lambda_0p05_lr_1e-04_wd_1e-03,3,3.6881982999911997,4.401949043663181
fusion_lambda_0p05_lr_3e-04_wd_1e-04,1,3.7453521999996156,4.405679387462382
fusion_lambda_0p05_lr_3e-04_wd_1e-04,2,3.665694999988773,4.391890241661851
fusion_lambda_0p05_lr_3e-04_wd_1e-04,3,3.818602400002419,4.377701181294967
fusion_lambda_0p05_lr_3e-04_wd_1e-03,1,3.780040400000871,4.405887070480658
fusion_lambda_0p05_lr_3e-04_wd_1e-03,2,3.81833789999655,4.392489160810198
fusion_lambda_0p05_lr_3e-04_wd_1e-03,3,3.8045284999971045,4.378112779344831
fusion_lambda_0p10_lr_1e-04_wd_1e-04,1,3.8735740999982227,4.409458917501022
fusion_lambda_0p10_lr_1e-04_wd_1e-04,2,4.390701900003478,4.405906375573606
fusion_lambda_0p10_lr_1e-04_wd_1e-04,3,4.062493000004906,4.401883761736811
fusion_lambda_0p10_lr_1e-04_wd_1e-03,1,3.796310599995195,4.409423119681222
fusion_lambda_0p10_lr_1e-04_wd_1e-03,2,3.839086199994199,4.405861163625912
fusion_lambda_0p10_lr_1e-04_wd_1e-03,3,4.191653800007771,4.401841282357975
fusion_lambda_0p10_lr_3e-04_wd_1e-04,1,3.8821358999994118,4.405849812955273
fusion_lambda_0p10_lr_3e-04_wd_1e-04,2,3.9618815000139875,4.3922368030158845
fusion_lambda_0p10_lr_3e-04_wd_1e-04,3,3.873020800005179,4.377817179232228
fusion_lambda_0p10_lr_3e-04_wd_1e-03,1,3.8751348000077996,4.406124613236408
fusion_lambda_0p10_lr_3e-04_wd_1e-03,2,3.849091199997929,4.392789780363745
fusion_lambda_0p10_lr_3e-04_wd_1e-03,3,4.1297148000012385,4.378280651326082
fusion_lambda_0p20_lr_1e-04_wd_1e-04,1,3.9285049000027357,4.4093941357671
fusion_lambda_0p20_lr_1e-04_wd_1e-04,2,4.006398699988495,4.405799569888991
fusion_lambda_0p20_lr_1e-04_wd_1e-04,3,4.546916899998905,4.4017802549868215
fusion_lambda_0p20_lr_1e-04_wd_1e-03,1,6.773695199997746,4.409438678196499
fusion_lambda_0p20_lr_1e-04_wd_1e-03,2,6.200859899996431,4.405918395762541
fusion_lambda_0p20_lr_1e-04_wd_1e-03,3,4.830945800000336,4.401921338451152
fusion_lambda_0p20_lr_3e-04_wd_1e-04,1,4.754273200000171,4.405869036304708
fusion_lambda_0p20_lr_3e-04_wd_1e-04,2,4.062119499998516,4.39203825386203
fusion_lambda_0p20_lr_3e-04_wd_1e-04,3,4.134512599994196,4.3775212871785065
fusion_lambda_0p20_lr_3e-04_wd_1e-03,1,3.9954806999885477,4.405919843790483
fusion_lambda_0p20_lr_3e-04_wd_1e-03,2,4.231282399996417,4.392363916124617
fusion_lambda_0p20_lr_3e-04_wd_1e-03,3,4.027064000008977,4.3775913686168435
