alternative_size,count,split
0,295,train
1,7761,train
2,1166,train
3,391,train
4,319,train
5,57,train
6,67,train
7,28,train
8,35,train
9,24,train
10,3,train
12,11,train
13,3,train
14,1,train
15,3,train
16,7,train
17,1,train
18,1,train
19,1,train
20,5,train
22,1,train
23,1,train
24,3,train
25,1,train
27,2,train
31,1,train
60,1,train
66,1,train
106,1,train
129,1,train
132,1,train
145,1,train
159,1,train
528,1,train
533,1,train
0,42,dev
1,1108,dev
2,163,dev
3,55,dev
4,51,dev
5,9,dev
6,10,dev
7,8,dev
8,3,dev
9,2,dev
16,1,dev
17,1,dev
20,1,dev
25,1,dev
28,1,dev
152,1,dev
0,85,test
1,2217,test
2,334,test
3,113,test
4,83,test
5,19,test
6,16,test
7,7,test
8,16,test
9,8,test
10,1,test
11,2,test
12,1,test
13,2,test
15,1,test
16,1,test
20,2,test
39,1,test
40,1,test
60,1,test
159,1,test
213,1,test
