count,flat_unique_target_count,required_slot_count,split
295,0,0,train
7536,1,0,train
1029,2,0,train
336,3,0,train
298,4,0,train
52,5,0,train
49,6,0,train
28,7,0,train
35,8,0,train
17,9,0,train
3,10,0,train
11,12,0,train
3,13,0,train
1,14,0,train
3,15,0,train
7,16,0,train
1,17,0,train
1,18,0,train
1,19,0,train
5,20,0,train
1,22,0,train
1,23,0,train
3,24,0,train
1,25,0,train
2,27,0,train
1,31,0,train
1,60,0,train
1,66,0,train
1,106,0,train
1,129,0,train
1,132,0,train
1,145,0,train
1,159,0,train
1,528,0,train
1,533,0,train
214,2,2,train
113,3,2,train
65,4,2,train
20,5,2,train
4,6,2,train
25,7,2,train
3,8,2,train
6,9,2,train
7,10,2,train
7,12,2,train
2,24,2,train
2,10,3,train
42,0,0,dev
1076,1,0,dev
145,2,0,dev
47,3,0,dev
44,4,0,dev
9,5,0,dev
8,6,0,dev
8,7,0,dev
3,8,0,dev
2,9,0,dev
1,16,0,dev
1,17,0,dev
1,20,0,dev
1,25,0,dev
1,28,0,dev
1,152,0,dev
31,2,2,dev
10,3,2,dev
10,4,2,dev
9,5,2,dev
4,7,2,dev
1,8,2,dev
1,9,2,dev
1,12,2,dev
85,0,0,test
2153,1,0,test
297,2,0,test
95,3,0,test
80,4,0,test
18,5,0,test
9,6,0,test
7,7,0,test
16,8,0,test
5,9,0,test
1,10,0,test
2,11,0,test
1,12,0,test
2,13,0,test
1,15,0,test
1,16,0,test
2,20,0,test
1,39,0,test
1,40,0,test
1,60,0,test
1,159,0,test
1,213,0,test
60,2,2,test
27,3,2,test
21,4,2,test
5,5,2,test
1,6,2,test
8,7,2,test
4,9,2,test
3,10,2,test
2,12,2,test
2,8,3,test
