category,count,dimension,split
ALTERNATIVE,1613,mapping_form,FUSION_TRAIN
COMBINATION,190,mapping_form,FUSION_TRAIN
COMBINATION_WITH_ALTERNATIVES,207,mapping_form,FUSION_TRAIN
NO_MAP,251,mapping_form,FUSION_TRAIN
SINGLE_APPROXIMATE,4310,mapping_form,FUSION_TRAIN
SINGLE_EXACT,2095,mapping_form,FUSION_TRAIN
0,8269,scenario_count,FUSION_TRAIN
1,367,scenario_count,FUSION_TRAIN
2,18,scenario_count,FUSION_TRAIN
3,5,scenario_count,FUSION_TRAIN
4,7,scenario_count,FUSION_TRAIN
0,8269,required_slot_count,FUSION_TRAIN
2,395,required_slot_count,FUSION_TRAIN
3,2,required_slot_count,FUSION_TRAIN
0,251,alternative_size,FUSION_TRAIN
1,6595,alternative_size,FUSION_TRAIN
2,990,alternative_size,FUSION_TRAIN
3,331,alternative_size,FUSION_TRAIN
4,272,alternative_size,FUSION_TRAIN
5,51,alternative_size,FUSION_TRAIN
6,60,alternative_size,FUSION_TRAIN
7,21,alternative_size,FUSION_TRAIN
8,30,alternative_size,FUSION_TRAIN
9,19,alternative_size,FUSION_TRAIN
10,3,alternative_size,FUSION_TRAIN
12,7,alternative_size,FUSION_TRAIN
13,3,alternative_size,FUSION_TRAIN
14,1,alternative_size,FUSION_TRAIN
15,3,alternative_size,FUSION_TRAIN
16,7,alternative_size,FUSION_TRAIN
17,1,alternative_size,FUSION_TRAIN
18,1,alternative_size,FUSION_TRAIN
19,1,alternative_size,FUSION_TRAIN
20,5,alternative_size,FUSION_TRAIN
24,2,alternative_size,FUSION_TRAIN
25,1,alternative_size,FUSION_TRAIN
27,2,alternative_size,FUSION_TRAIN
31,1,alternative_size,FUSION_TRAIN
60,1,alternative_size,FUSION_TRAIN
66,1,alternative_size,FUSION_TRAIN
106,1,alternative_size,FUSION_TRAIN
129,1,alternative_size,FUSION_TRAIN
145,1,alternative_size,FUSION_TRAIN
159,1,alternative_size,FUSION_TRAIN
528,1,alternative_size,FUSION_TRAIN
533,1,alternative_size,FUSION_TRAIN
ALTERNATIVE,285,mapping_form,FUSION_VAL
COMBINATION,35,mapping_form,FUSION_VAL
COMBINATION_WITH_ALTERNATIVES,36,mapping_form,FUSION_VAL
NO_MAP,44,mapping_form,FUSION_VAL
SINGLE_APPROXIMATE,761,mapping_form,FUSION_VAL
SINGLE_EXACT,370,mapping_form,FUSION_VAL
0,1460,scenario_count,FUSION_VAL
1,62,scenario_count,FUSION_VAL
2,2,scenario_count,FUSION_VAL
3,2,scenario_count,FUSION_VAL
4,3,scenario_count,FUSION_VAL
6,2,scenario_count,FUSION_VAL
0,1460,required_slot_count,FUSION_VAL
2,71,required_slot_count,FUSION_VAL
0,44,alternative_size,FUSION_VAL
1,1166,alternative_size,FUSION_VAL
2,176,alternative_size,FUSION_VAL
3,60,alternative_size,FUSION_VAL
4,47,alternative_size,FUSION_VAL
5,6,alternative_size,FUSION_VAL
6,7,alternative_size,FUSION_VAL
7,7,alternative_size,FUSION_VAL
8,5,alternative_size,FUSION_VAL
9,5,alternative_size,FUSION_VAL
12,4,alternative_size,FUSION_VAL
22,1,alternative_size,FUSION_VAL
23,1,alternative_size,FUSION_VAL
24,1,alternative_size,FUSION_VAL
132,1,alternative_size,FUSION_VAL
