source_id,mapping_form,scenario_count,choice_list_count,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:24911,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24921,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24931,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24951,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:24961,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24981,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24991,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25053,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:41511,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:66602,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:66604,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:75435,COMBINATION,2,4,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80012,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80015,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80021,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80023,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
