source_id,mapping_form,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:0730,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11501,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11502,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11503,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11512,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11513,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11514,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11592,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11593,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:11595,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24911,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24921,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24931,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24951,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:24961,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24981,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:24991,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25013,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25022,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25033,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25043,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:25053,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:25062,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25073,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25083,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25092,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:25093,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:29020,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:2903,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:41511,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:53101,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:53111,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:53131,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:53141,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:53151,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:53171,COMBINATION,True,False,0
