candidate_embedding_equal,candidate_embedding_sha256,candidate_order_equal,source_embedding_equal,source_embedding_sha256,source_id,split,status
True,3294307a1902a1c25c39f9c0be0393567136f116e8fe394c5833e23b1cbaab55,True,True,10d9115874b4330a02cdc8d4d5e9203a4ee28e2631ad19332e6e059252de4cb0,track_a_v1.0:ICD9CM_TO_ICD10CM:0011,FUSION_TRAIN,PASS
True,770f30e7dff53beac197c96cc9c651018acf2a2797d841d2877178a392ce19be,True,True,4cca49cd0af9d61ec19eb708d22b303390b3809aa317eb556b241986ef14ede1,track_a_v1.0:ICD9CM_TO_ICD10CM:0021,FUSION_TRAIN,PASS
True,594cd70df75c7624bc85094ffc814bb1e9a02bb814d8fcde3c8ee349afb6f465,True,True,0f43bbcad1f601a3f4e0a081dc9d8b9b520955dec3833023ebbed14d7a8300eb,track_a_v1.0:ICD9CM_TO_ICD10CM:0022,FUSION_TRAIN,PASS
True,5f03c5ee5c8f48ce890dc7332cd1dbae798c0ae0a00133ba4c7565b611ea124d,True,True,00c3f3ab1d6b0c8c8547f4cd36005fced428a7063c37d6170c9125ff05c64f0b,track_a_v1.0:ICD9CM_TO_ICD10CM:0029,FUSION_TRAIN,PASS
True,8e83945516829bb991aa18cb139831035270138112ccc4657735a96818e70ffe,True,True,8a5c06fb5eace07280993e00d7c6d98e717a2d7f3a2a54ceec3995241b1975a2,track_a_v1.0:ICD9CM_TO_ICD10CM:0030,FUSION_TRAIN,PASS
True,f4ae0f43b348537a7d0d4c481b3fe64ce6689a62ebfc37cfb9ba9b6cb5ec0409,True,True,2ede74d32466148911992f4fb044d6bf5c8e008cc61ddd27c1415af3d45dcd79,track_a_v1.0:ICD9CM_TO_ICD10CM:0031,FUSION_TRAIN,PASS
True,c3c17cc94bcd1203c0837de038ec467c63c9f46dfae3e27d65b9110fc2be58e0,True,True,39ba2b0f5b7502d30bd3e5fc18270a6426eb9167d8f5adf4ab3eb34c4dfe505f,track_a_v1.0:ICD9CM_TO_ICD10CM:00322,FUSION_TRAIN,PASS
True,3f9857195ca0025e60f5411e8087b8b88b3dcdcc5f8f98521edb5aa2144ed192,True,True,54cbda3b0455673f9949368538addd8813572d538bb8034a355c353df2ac2d94,track_a_v1.0:ICD9CM_TO_ICD10CM:00323,FUSION_TRAIN,PASS
True,c228e3baaec52e7beac3310fdc479769e006768797e240d56a093fe939177cb6,True,True,241f554b48223dd637e732f5df4ef16eda544b610799cc12cbbf0220cc9d7e0f,track_a_v1.0:ICD9CM_TO_ICD10CM:00321,FUSION_VAL,PASS
True,896bbd60c7b60f12f1e0f9323035bb4667b708e0274d11895900d998d7a9df88,True,True,6c48e1697abc4125612299354ad2f5b583f317e5585c5efdd27689e80c8de2a6,track_a_v1.0:ICD9CM_TO_ICD10CM:0062,FUSION_VAL,PASS
True,87991b9c487b7abceb46ac4da535af216a0925f62734e47ca594184eca46637e,True,True,3429c1175026b0e168c33f1d88599da51b9058177510f89ceaf6e0f1f8b078a5,track_a_v1.0:ICD9CM_TO_ICD10CM:00809,FUSION_VAL,PASS
True,23c7c6289b7df58fe07cce7bd5b1dceac799b8f5007b1124d3d9aa794275e16c,True,True,99581cb6920778ce167392171bedc62c4ac0282631f43e57971acd59f5ee967d,track_a_v1.0:ICD9CM_TO_ICD10CM:00844,FUSION_VAL,PASS
True,02beefe8fda9585dc2e2618d64096ea79b79e74d624a3d2cffcffe78fd9e58a2,True,True,b81a29fdd018029a4cdd139d5a56adcd0db9c0ac74f0ccff629202252276bbbb,track_a_v1.0:ICD9CM_TO_ICD10CM:00845,FUSION_VAL,PASS
True,1067de43f9ddfa64c8d1fe46784ff01749ca45c9e2a957235c16b025b5d70a4f,True,True,0a224f88c54fd61874979f6d945dd24cfef45a9197232f2622e801069decbe80,track_a_v1.0:ICD9CM_TO_ICD10CM:00847,FUSION_VAL,PASS
True,bce20163c2f7125815c3fa2d386878b702fdce8266b41c28dd2362d5aa1b8797,True,True,442369fe75afb0a6fc64218164ab7f6afb5c5111f4825b73a1aebe03266d8c1d,track_a_v1.0:ICD9CM_TO_ICD10CM:01003,FUSION_VAL,PASS
True,7959d440260e6056b19ba17b951cc11712b95340e06d9a23fb593a90b066df4c,True,True,279b4c9ac4ee3cf1353e462ddb5ee5e10ecc76d1298c206e235df63b10c23a37,track_a_v1.0:ICD9CM_TO_ICD10CM:01005,FUSION_VAL,PASS
