metric,mrr_missing_gold_policy,n,system,value
Hit@1,zero,2695,B0,0.7031539888682746
Hit@5,zero,2695,B0,0.8630797773654917
Hit@10,zero,2695,B0,0.9031539888682746
Hit@25,zero,2695,B0,0.9476808905380334
Hit@50,zero,2695,B0,0.9662337662337662
Hit@100,zero,2695,B0,0.9781076066790353
MRR,zero,2695,B0,0.7760701834782997
NDCG@10,zero,2695,B0,0.7755802580866993
Hit@1,zero,2695,HIERARCHY_SEED17,0.27346938775510204
Hit@5,zero,2695,HIERARCHY_SEED17,0.3398886827458256
Hit@10,zero,2695,HIERARCHY_SEED17,0.437847866419295
Hit@25,zero,2695,HIERARCHY_SEED17,0.6014842300556587
Hit@50,zero,2695,HIERARCHY_SEED17,0.7840445269016698
Hit@100,zero,2695,HIERARCHY_SEED17,0.9781076066790353
MRR,zero,2695,HIERARCHY_SEED17,0.33088221659441225
NDCG@10,zero,2695,HIERARCHY_SEED17,0.32190111525852866
