ChoiceListRecall,CompleteScenarioRetrieval,k,n,population,system
0.1424812030075188,0.0,1,133,P_COMPLEX,B0
0.3507518796992481,0.06766917293233082,5,133,P_COMPLEX,B0
0.4591478696741854,0.15789473684210525,10,133,P_COMPLEX,B0
0.5960526315789474,0.3007518796992481,25,133,P_COMPLEX,B0
0.6746867167919799,0.42105263157894735,50,133,P_COMPLEX,B0
0.7323308270676692,0.48872180451127817,100,133,P_COMPLEX,B0
0.10714285714285714,0.0,1,133,P_COMPLEX,HIERARCHY_SEED17
0.2424812030075188,0.007518796992481203,5,133,P_COMPLEX,HIERARCHY_SEED17
0.30639097744360905,0.022556390977443608,10,133,P_COMPLEX,HIERARCHY_SEED17
0.38721804511278196,0.06015037593984962,25,133,P_COMPLEX,HIERARCHY_SEED17
0.4699248120300752,0.11278195488721804,50,133,P_COMPLEX,HIERARCHY_SEED17
0.7323308270676692,0.48872180451127817,100,133,P_COMPLEX,HIERARCHY_SEED17
